Location,Count,Max,Timestamp
SubZero Ice Center,,,2/5/2024 15:18
Nick Level 1 Fitness,43,150,2/5/2024 15:38
Nick Level 2 Fitness,46,100,2/5/2024 15:38
Nick Level 3 Fitness,112,200,2/5/2024 15:38
Nick Power House,65,140,2/5/2024 15:38
Nick Track,19,100,2/5/2024 15:38
Soderholm Family Aquatic Center,,,2/5/2024 15:38
Nick Courts 1 & 2,10,250,2/5/2024 15:38
Nick Courts 3-6,17,500,2/5/2024 15:38
Nick Courts 7 & 8,14,250,2/5/2024 15:38
Level 1 Fitness,44,130,2/5/2024 15:38
Level 2 Fitness,14,65,2/5/2024 15:38
Level 3 Fitness,71,246,2/5/2024 15:38
Level 4 Fitness,17,75,2/5/2024 15:38
Bakke Track,3,100,2/5/2024 15:38
Courts 1&2,8,250,2/5/2024 15:38
Courts 3&4,0,250,2/5/2024 15:38
Courts 5-8,2,500,2/5/2024 15:38
Orbit,14,46,2/5/2024 15:38
Willow Room,3,27,2/5/2024 15:38
Cove Pool,4,116,2/5/2024 15:38
Mount Mendota,9,39,2/5/2024 15:38
Skybox Suites,2,18,2/5/2024 15:38
SubZero Ice Center,,,2/5/2024 15:38
Nick Level 1 Fitness,43,150,2/5/2024 15:59
Nick Level 2 Fitness,44,100,2/5/2024 15:59
Nick Level 3 Fitness,113,200,2/5/2024 15:59
Nick Power House,67,140,2/5/2024 15:59
Nick Track,21,100,2/5/2024 15:59
Soderholm Family Aquatic Center,,,2/5/2024 15:59
Nick Courts 1 & 2,10,250,2/5/2024 15:59
Nick Courts 3-6,15,500,2/5/2024 15:59
Nick Courts 7 & 8,14,250,2/5/2024 15:59
Level 1 Fitness,44,130,2/5/2024 15:59
Level 2 Fitness,14,65,2/5/2024 15:59
Level 3 Fitness,71,246,2/5/2024 15:59
Level 4 Fitness,17,75,2/5/2024 15:59
Bakke Track,3,100,2/5/2024 15:59
Courts 1&2,8,250,2/5/2024 15:59
Courts 3&4,0,250,2/5/2024 15:59
Courts 5-8,2,500,2/5/2024 15:59
